         8	    0.000000672
        16	    0.000001063
        32	    0.000000873
        64	    0.000000908
       128	    0.000000944
       256	    0.000000958
       512	    0.000000963
      1024	    0.000000999
      2048	    0.000001194
      4096	    0.000001736
      8192	    0.000003667
     16384	    0.000004058
     32768	    0.000006742
     65536	    0.000012119
    131072	    0.000023279
    262144	    0.000045459
    524288	    0.000087352
   1048576	    0.000171814
   2097152	    0.000341520
   4194304	    0.000679681
   8388608	    0.001360266
  16777216	    0.002722936
  33554432	    0.005601313
  67108864	    0.011500664
 134217728	    0.023230562
 268435456	    0.046661232
 536870912	    0.093582053
1073741824	    0.186849198
