         8	    0.000001328
        16	    0.000001249
        32	    0.000001285
        64	    0.000001290
       128	    0.000001297
       256	    0.000001457
       512	    0.000001376
      1024	    0.000001643
      2048	    0.000002024
      4096	    0.000002730
      8192	    0.000004506
     16384	    0.000005262
     32768	    0.000006921
     65536	    0.000010774
    131072	    0.000016878
    262144	    0.000030229
    524288	    0.000056894
   1048576	    0.000110219
   2097152	    0.000219181
   4194304	    0.000469627
   8388608	    0.000996063
  16777216	    0.002041011
  33554432	    0.004189243
  67108864	    0.008610113
 134217728	    0.017341573
 268435456	    0.034961195
 536870912	    0.070336344
1073741824	    0.140698237
