         8	    0.000001440
        16	    0.000001383
        32	    0.000001397
        64	    0.000001407
       128	    0.000001431
       256	    0.000001462
       512	    0.000001535
      1024	    0.000001855
      2048	    0.000002308
      4096	    0.000003171
      8192	    0.000004981
     16384	    0.000005910
     32768	    0.000007699
     65536	    0.000011597
    131072	    0.000019643
    262144	    0.000035145
    524288	    0.000066066
   1048576	    0.000127239
   2097152	    0.000260842
   4194304	    0.000501120
   8388608	    0.001106160
  16777216	    0.002306042
  33554432	    0.004720280
  67108864	    0.009503927
 134217728	    0.019003048
 268435456	    0.038081770
 536870912	    0.076187949
1073741824	    0.151946230
